ST,state_county5,fips,lon,lat,den,r0.est,r0.est.cor,r0.l66.cor,r0.u66.cor,r0.pred,r0.pred.se,R0.pred,R0.pred.l66,R0.pred.u66
AL,AL_Autauga Coun,1001,-86.494165,32.500389,35.68483475,0.052053199,0.082334,0.047950506,0.115913727,0.100143019,0.028568519,2.007365989,1.663250605,2.403428228
AL,AL_Baldwin Coun,1003,-87.762381,30.548923,42.51981489,0.052053199,0.082334,0.047950506,0.115913727,0.116898933,0.026951643,2.23307851,1.878825552,2.635889278
AL,AL_Barbour Coun,1005,-85.310038,31.844036,10.53660877,0.052053199,0.082334,0.047950506,0.115913727,0.092476471,0.027838098,1.910105618,1.587038166,2.281362892
AL,"AL_Bibb County,",1007,-87.127659,33.030921,13.82312619,0.052053199,0.082334,0.047950506,0.115913727,0.093895662,0.028688674,1.927831715,1.593182137,2.313884009
AL,AL_Blount Count,1009,-86.591491,33.955243,34.31449647,0.052053199,0.082334,0.047950506,0.115913727,0.090127765,0.028324116,1.881044487,1.556682202,2.254934263
AL,AL_Bullock Coun,1011,-85.701192,32.116327,6.228961457,0.052053199,0.082334,0.047950506,0.115913727,0.089494741,0.028157673,1.873270291,1.551729273,2.243662614
AL,AL_Butler Count,1013,-86.65355,31.773539,9.651678429,0.052053199,0.082334,0.047950506,0.115913727,0.097540885,0.028559658,1.973939377,1.634432057,2.364955933
AL,AL_Calhoun Coun,1015,-85.819442,33.72546,71.63077279,0.052053199,0.082334,0.047950506,0.115913727,0.093394893,0.02761496,1.921562634,1.59939153,2.291287836
AL,AL_Chambers Cou,1017,-85.266474,32.860439,21.28729472,0.052053199,0.082334,0.047950506,0.115913727,0.088771911,0.027271996,1.864423375,1.553456562,2.221113987
AL,AL_Cherokee Cou,1019,-85.629194,34.179333,16.85720794,0.052053199,0.082334,0.047950506,0.115913727,0.079813529,0.027211339,1.757422258,1.461244886,2.097855113
AL,AL_Chilton Coun,1021,-86.687406,32.877547,24.47736042,0.052053199,0.082334,0.047950506,0.115913727,0.096044715,0.028611374,1.954913643,1.617415853,2.343873467
AL,AL_Choctaw Coun,1023,-88.264164,32.016562,5.278079864,0.052053199,0.082334,0.047950506,0.115913727,0.102098171,0.02753679,2.032764941,1.696928429,2.417147207
AL,AL_Clarke Count,1025,-87.815673,31.685685,7.28125382,0.052053199,0.082334,0.047950506,0.115913727,0.103065732,0.027686684,2.045424747,1.706239012,2.433827868
AL,"AL_Clay County,",1027,-85.820227,33.272412,8.431743817,0.052053199,0.082334,0.047950506,0.115913727,0.083045212,0.027811323,1.79546206,1.488062372,2.149566904
AL,AL_Cleburne Cou,1029,-85.494315,33.62977,10.26054073,0.052053199,0.082334,0.047950506,0.115913727,0.079832391,0.027125187,1.757642463,1.462307731,2.096955524
AL,AL_Coffee Count,1031,-85.904715,31.354433,29.69691477,0.052053199,0.082334,0.047950506,0.115913727,0.102406306,0.028537076,2.03679015,1.68907777,2.436687176
AL,AL_Colbert Coun,1033,-87.685151,34.723385,34.19916906,0.052053199,0.082334,0.047950506,0.115913727,0.090322745,0.028609897,1.883444027,1.555717348,2.261733161
AL,AL_Conecuh Coun,1035,-86.996483,31.418674,5.464696976,0.052053199,0.082334,0.047950506,0.115913727,0.098349916,0.028327459,1.984286107,1.645956236,2.373415036
AL,AL_Coosa County,1037,-86.155035,32.975932,6.177884955,0.052053199,0.082334,0.047950506,0.115913727,0.085408062,0.028284096,1.823673662,1.50755783,2.188456631
AL,AL_Covington Co,1039,-86.410955,31.282449,13.70246509,0.052053199,0.082334,0.047950506,0.115913727,0.100210831,0.028614946,2.008242847,1.663489882,2.405122249
AL,AL_Crenshaw Cou,1041,-86.29708,31.743487,8.704056322,0.052053199,0.082334,0.047950506,0.115913727,0.09547228,0.028568068,1.947671642,1.611630615,2.334929812
AL,AL_Cullman Coun,1043,-86.831859,34.162362,42.8463318,0.052053199,0.082334,0.047950506,0.115913727,0.091465248,0.028394158,1.897551597,1.570198523,2.274883269
AL,"AL_Dale County,",1045,-85.641269,31.383346,33.73862931,0.052053199,0.082334,0.047950506,0.115913727,0.102248896,0.028370233,2.034733123,1.689184581,2.431833692
AL,AL_Dallas Count,1047,-87.034955,32.408815,14.45598757,0.052053199,0.082334,0.047950506,0.115913727,0.097947007,0.028594652,1.979128124,1.638532463,2.371422753
AL,AL_DeKalb Count,1049,-85.817208,34.45511,35.45774874,0.052053199,0.082334,0.047950506,0.115913727,0.083828826,0.02738838,1.804780659,1.500484771,2.154484007
AL,AL_Elmore Count,1051,-86.225647,32.559652,47.70554623,0.052053199,0.082334,0.047950506,0.115913727,0.100532424,0.028436571,2.012405222,1.669091444,2.407247262
AL,AL_Escambia Cou,1053,-87.282053,31.088737,14.84100358,0.052053199,0.082334,0.047950506,0.115913727,0.106097609,0.027916108,2.085484643,1.738449421,2.483007649
AL,AL_Etowah Count,1055,-86.025393,34.013693,71.94815463,0.052053199,0.082334,0.047950506,0.115913727,0.0925591,0.027775237,1.911134243,1.588608459,2.281644627
AL,AL_Fayette Coun,1057,-87.770355,33.726422,10.00068765,0.052053199,0.082334,0.047950506,0.115913727,0.090250287,0.028731478,1.882552047,1.553657058,2.262428741
AL,AL_Franklin Cou,1059,-87.793594,34.460481,18.7285238,0.052053199,0.082334,0.047950506,0.115913727,0.088570345,0.028721924,1.861962072,1.536008501,2.238598937
AL,AL_Geneva Count,1061,-85.788849,31.09426,17.51983281,0.052053199,0.082334,0.047950506,0.115913727,0.099463263,0.028588185,1.998592507,1.655439654,2.393657643
AL,AL_Greene Count,1063,-87.924,32.830505,4.74502996,0.052053199,0.082334,0.047950506,0.115913727,0.094394468,0.028360738,1.9340918,1.602148094,2.316346379
AL,"AL_Hale County,",1065,-87.626084,32.775804,8.616308106,0.052053199,0.082334,0.047950506,0.115913727,0.09591967,0.028510333,1.953329915,1.617153057,2.340586558
AL,AL_Henry County,1067,-85.268828,31.478593,11.68739715,0.052053199,0.082334,0.047950506,0.115913727,0.094618689,0.027957821,1.936910865,1.608975401,2.313771284
AL,AL_Houston Coun,1069,-85.391221,31.20455,70.27769666,0.052053199,0.082334,0.047950506,0.115913727,0.107496672,0.028252188,2.104170827,1.750788901,2.509476792
AL,AL_Jackson Coun,1071,-85.938698,34.731984,17.68951163,0.052053199,0.082334,0.047950506,0.115913727,0.078527201,0.027366796,1.742455049,1.446713388,2.082775751
AL,AL_Jefferson Co,1073,-86.814688,33.518601,226.2506085,0.052053199,0.082334,0.047950506,0.115913727,0.110714652,0.028588953,2.147634946,1.784574666,2.564366827
AL,AL_Lamar County,1075,-88.109649,33.762769,8.802722349,0.052053199,0.082334,0.047950506,0.115913727,0.090811841,0.028666646,1.889473475,1.560315611,2.269471307
AL,AL_Lauderdale C,1077,-87.608759,34.866179,49.80641163,0.052053199,0.082334,0.047950506,0.115913727,0.091888489,0.028510333,1.902798273,1.573486812,2.282563834
AL,AL_Lawrence Cou,1079,-87.272414,34.543683,17.7015557,0.052053199,0.082334,0.047950506,0.115913727,0.085411478,0.02846597,1.823714693,1.505708658,2.191016307
AL,"AL_Lee County, ",1081,-85.345833,32.588092,103.198413,0.052053199,0.082334,0.047950506,0.115913727,0.102981349,0.027559079,2.044318275,1.706732273,2.430656791
AL,AL_Limestone Co,1083,-86.938972,34.815612,62.90563175,0.052053199,0.082334,0.047950506,0.115913727,0.090838705,0.028034537,1.889805076,1.567344451,2.260892294
AL,AL_Lowndes Coun,1085,-86.618688,32.162415,5.178980339,0.052053199,0.082334,0.047950506,0.115913727,0.092366222,0.028592165,1.908733825,1.577734304,2.290552063
AL,AL_Macon County,1087,-85.715007,32.425739,11.37486134,0.052053199,0.082334,0.047950506,0.115913727,0.090362651,0.028063843,1.883935434,1.561951918,2.25457569
AL,AL_Madison Coun,1089,-86.613232,34.746392,177.1221995,0.052053199,0.082334,0.047950506,0.115913727,0.099075338,0.027828859,1.993598776,1.659583812,2.376747575
AL,AL_Marengo Coun,1091,-87.800648,32.340479,7.409595596,0.052053199,0.082334,0.047950506,0.115913727,0.099142587,0.028186934,1.994463786,1.656338044,2.383006126
AL,AL_Marion Count,1093,-87.8743,34.111797,15.42548702,0.052053199,0.082334,0.047950506,0.115913727,0.090162941,0.028761351,1.881477219,1.552413468,2.261614955
AL,AL_Marshall Cou,1095,-86.293279,34.311974,59.95510828,0.052053199,0.082334,0.047950506,0.115913727,0.090488076,0.027904894,1.885480533,1.564984604,2.254102226
AL,AL_Mobile Count,1097,-88.170637,30.683993,97.03623568,0.025838243,0.138172972,0.110551831,0.165485061,0.121827183,0.026294802,2.302996767,1.94843103,2.704432603
AL,AL_Monroe Count,1099,-87.360894,31.505611,7.737188738,0.052053199,0.082334,0.047950506,0.115913727,0.101642864,0.028025529,2.026828339,1.686227649,2.417645002
AL,AL_Montgomery C,1101,-86.243797,32.346175,109.334304,0.052053199,0.082334,0.047950506,0.115913727,0.108853949,0.028482413,2.122420575,1.763945749,2.533879435
AL,AL_Morgan Count,1103,-86.930781,34.514252,77.13079257,0.052053199,0.082334,0.047950506,0.115913727,0.094237707,0.02826,1.932122755,1.601539301,2.312636393
AL,AL_Perry County,1105,-87.369219,32.581066,4.757691364,0.052053199,0.082334,0.047950506,0.115913727,0.093259442,0.028548674,1.919869629,1.587819378,2.302723114
AL,AL_Pickens Coun,1107,-88.066472,33.292973,8.645107747,0.052053199,0.082334,0.047950506,0.115913727,0.094232603,0.02849485,1.932058669,1.598933766,2.315946298
AL,"AL_Pike County,",1109,-85.948647,31.787277,19.02161355,0.052053199,0.082334,0.047950506,0.115913727,0.097976697,0.028435014,1.979507853,1.640627307,2.369516309
AL,AL_Randolph Cou,1111,-85.427266,33.257607,15.01841453,0.052053199,0.082334,0.047950506,0.115913727,0.084255074,0.02723062,1.809865116,1.506526468,2.158149889
AL,AL_Russell Coun,1113,-85.062843,32.421972,34.56513481,0.052053199,0.082334,0.047950506,0.115913727,0.094812235,0.027273249,1.939346797,1.61857284,2.306706563
AL,AL_St. Clair Co,1115,-86.369107,33.660628,52.87267264,0.052053199,0.082334,0.047950506,0.115913727,0.094161556,0.028257616,1.931166781,1.600737938,2.311505773
AL,AL_Shelby Count,1117,-86.737978,33.290719,103.8230617,0.052053199,0.082334,0.047950506,0.115913727,0.104239195,0.028591567,2.060859308,1.709305866,2.465083091
